tool,id,filename,haverace,threads,dataset,races,elapsed-time(seconds),used-mem(KBs),compile-return,runtime-return
openrace,138,"DRB138-simdsafelen-orig-yes.c",true,8,N/A,0,,,0,0
openrace,169,"DRB169-missingsyncwrite-orig-yes.c",true,8,N/A,1,,,0,0
openrace,170,"DRB170-nestedloops-orig-no.c",false,8,N/A,1,,,0,0
openrace,178,"DRB178-input-dependence-var-yes.c",true,8,32,1,,,0,0
openrace,179,"DRB179-thread-sensitivity-yes.c",true,8,N/A,1,,,0,0
openrace,180,"DRB180-miniAMR-yes.c",true,8,N/A,1,,,0,0
openrace,194,"DRB194-diffusion1-no.c",false,8,N/A,1,,,0,0
openrace,195,"DRB195-diffusion1-yes.c",true,8,N/A,0,,,0,0
openrace,196,"DRB196-diffusion2-no.c",false,8,N/A,1,,,0,0
openrace,197,"DRB197-diffusion2-yes.c",true,8,N/A,1,,,0,0
openrace,202,"DRB202-simd-broadcast-yes.c",true,8,N/A,1,,,0,0
openrace,203,"DRB203-simd-broadcast-no.c",false,8,N/A,1,,,0,0
openrace,204,"DRB204-simd-gather-yes.c",true,8,N/A,1,,,0,0
openrace,205,"DRB205-simd-gatherscatter-no.c",false,8,N/A,1,,,0,0
openrace,206,"DRB206-simd-scatter-yes.c",true,8,N/A,1,,,0,0
openrace,207,"DRB207-simd-loadstore-yes.c",true,8,N/A,1,,,0,0
openrace,208,"DRB208-simd-loadstore-no.c",false,8,N/A,1,,,0,0
